regime,start,end,days
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-01-16,2025-01-27,8
Goldilocks / Expansion,2025-01-28,2025-01-28,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-01-29,2025-02-10,9
Neutral/Mixed Growth / Up Inflation,2025-02-11,2025-02-12,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-02-13,2025-02-19,5
Neutral/Mixed Growth / Up Inflation,2025-02-20,2025-02-20,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-02-21,2025-02-28,6
Down Growth / Neutral/Mixed Inflation,2025-03-03,2025-03-04,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-03-05,2025-03-05,1
Down Growth / Neutral/Mixed Inflation,2025-03-06,2025-04-04,22
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2025-04-07,2025-04-07,1
Slowdown / Deflationary Slowdown + Stress Overlay,2025-04-08,2025-04-08,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2025-04-09,2025-04-09,1
Slowdown / Deflationary Slowdown + Stress Overlay,2025-04-10,2025-04-10,1
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2025-04-11,2025-04-11,1
Slowdown / Deflationary Slowdown + Stress Overlay,2025-04-14,2025-04-16,3
Down Growth / Neutral/Mixed Inflation + Stress Overlay,2025-04-17,2025-04-29,9
Slowdown / Deflationary Slowdown + Stress Overlay,2025-04-30,2025-05-05,4
Down Growth / Neutral/Mixed Inflation,2025-05-06,2025-05-06,1
Slowdown / Deflationary Slowdown,2025-05-07,2025-05-07,1
Down Growth / Neutral/Mixed Inflation,2025-05-08,2025-05-09,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-05-12,2025-06-05,19
Goldilocks / Expansion,2025-06-06,2025-06-06,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-06-09,2025-06-09,1
Goldilocks / Expansion,2025-06-10,2025-06-10,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-06-11,2025-06-16,4
Neutral/Mixed Growth / Up Inflation,2025-06-17,2025-06-18,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-06-19,2025-06-19,1
Neutral/Mixed Growth / Up Inflation,2025-06-20,2025-06-20,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-06-23,2025-06-24,2
Goldilocks / Expansion,2025-06-25,2025-07-01,5
Reflation,2025-07-02,2025-07-14,9
Goldilocks / Expansion,2025-07-15,2025-07-16,2
Reflation,2025-07-17,2025-07-21,3
Goldilocks / Expansion,2025-07-22,2025-07-23,2
Reflation,2025-07-24,2025-07-31,6
Neutral/Mixed Growth / Up Inflation,2025-08-01,2025-08-01,1
Reflation,2025-08-04,2025-08-04,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-08-05,2025-10-28,61
Goldilocks / Expansion,2025-10-29,2025-10-29,1
Neutral/Mixed Growth / Neutral/Mixed Inflation,2025-10-30,2026-01-22,61
Neutral/Mixed Growth / Up Inflation,2026-01-23,2026-01-30,6
Neutral/Mixed Growth / Neutral/Mixed Inflation,2026-02-02,2026-02-02,1
Neutral/Mixed Growth / Up Inflation,2026-02-03,2026-02-04,2
Neutral/Mixed Growth / Neutral/Mixed Inflation,2026-02-05,2026-02-06,2
Neutral/Mixed Growth / Up Inflation,2026-02-09,2026-02-11,3
Neutral/Mixed Growth / Neutral/Mixed Inflation,2026-02-12,2026-02-17,4
Neutral/Mixed Growth / Up Inflation,2026-02-18,2026-03-02,9
Stagflation-like,2026-03-03,2026-03-27,19
Stagflation-like + Stress Overlay,2026-03-30,2026-04-09,9
Stagflation-like,2026-04-10,2026-04-10,1
Neutral/Mixed Growth / Up Inflation,2026-04-13,2026-05-05,17
